rank,name,level,win
1,iiwandy,69,292
2,roookie,57,213
3,어상내하,48,129
4,nodfan,98,151
5,SwordArt77777,65,265
6,feng jin che hu,48,137
7,Monster toys,78,343
8,LSB Kael,288,183
9,T1Zeus,46,110
10,이 차가 식기전에,568,300
11,Carecare1,60,213
12,07정글프로지망,534,230
13,zxcasqwe,66,254
14,채은누나 예쁘다 ,338,223
15,농심라면다내꺼야,227,202
16,MUDAI,216,290
17,댕청잇,224,116
18,디알엑스 태윤,233,159
19,dalongmeil,60,202
20,jie yao,51,130
21,xiaozhewan,69,281
22,전상득,459,411
23,JUGKlNG,333,162
24,쪼렙이다말로하자,554,198
25,왁컬로이두,186,103
26,Needquiet,64,249
27,fragiIe,231,283
28,viper3,446,122
29,희동1,46,118
30,타 잔,366,178
31,LSB Envy,233,323
32,lIlIIllIlIIllIlI,237,101
33,우찬굳,265,95
34,knightt,61,218
35,가민준,147,257
36,BRO Delight,653,187
37,srysrysrysrysr,55,194
38,zzzusss,187,104
39,FA Chasy,339,320
40,메가 영재,536,312
41,qwetyz,61,229
42,tong hua baby,73,211
43,dou ta ma biewan,57,162
44,Hakunaa Matata,58,194
45,cutelin,58,206
46,1987456144Q,46,108
47,KT Castle,656,177
48,yjzbaba,53,160
49,geti246,45,108
50,잘했지 칭찬해줘,202,148
51,yi jian tian hai,71,165
52,J God1,103,428
53,ziyou,316,128
54,Seven,479,211
55,Gen G Peyz,412,192
56,콩나물이좋아요,680,273
57,asdasasdasd,74,319
58,cainiao3hao,58,203
59,T1 Gumayusi,489,171
60,정훈이의 모험,372,140
61,lhyzz,119,285
62,칼과 창 방패,502,226
63,vicky99,62,216
64,삽살의갑갑,47,81
65,헤나의 룩북,329,182
66,신입 서폿,128,67
67,DK Lucid,286,219
68,징징문,563,206
69,gnswognswo,338,90
70,존중겸손아닥집중,459,183
71,BRO Morgan,346,118
72,은가뉴,285,110
73,AhnHealth,71,306
74,xiangcai,67,153
75,ShellieMay,101,194
76,Pa9oda,67,273
77,아아스크림,623,249
78,Dont Start Now,649,225
79,나 요,341,150
80,Rascal,484,162
81,sicsiksci,192,267
82,Gen G Ruler,584,174
83,듀얼아카데미입학,330,151
84,탑 혜지,394,326
85,비둘기 도브,586,222
86,1Lq 1Lq,48,129
87,agak,61,151
88,읽씹맨,457,188
89,오뚜기3분미트볼,282,91
90,JUG242SH,116,279
91,행복한 태윤이,55,174
92,DK Sharvel,323,311
93,dxnbnxddyda,55,198
94,DK Pullbae,272,210
95,hulatang,70,300
96,커피물조절장인,357,237
97,ride on,62,231
98,역시폭군,140,199
99,NS Sylvie,347,172
100,엉덩국 갱승제료,101,222
101,역천괴,655,167
102,snmyj,68,280
103,Twitch 다훈갓,406,156
104,KING MIR,645,360
105,Xbm,91,229
106,Cc3cC,413,131
107,IgNar,416,281
108,ToT5,342,172
109,HLE SamD01,48,107
110,LSB Winter,363,188
111,HLE Lure,277,145
112,kgcjhADHSADN,60,215
113,zhonglexuruosan,227,145
114,날으는참새1,77,261
115,이렐아칼리,173,143
116,신상공원,180,132
117,Chancedong,417,120
118,BRO Hena,789,238
119,asdfdkkksz,54,158
120,UijU,525,196
121,LCK Progamer,152,195
122,크로꼬,193,117
123,Sweet OwO,159,144
124,요플래,371,122
125,Trisak,391,294
